PrecinctName,PrecintCode,PrecinctNumber,Phone,Borough,Address
46th Precinct,46th,46,718-220-5211,Bronx,2120 Ryer Avenue
47th Precinct,47th,47,718-920-1211,Bronx,4111 Laconia Avenue
48th Precinct,48th,48,718-299-3900,Bronx,450 Cross Bronx Expressway
49th Precinct,49th,49,718-918-2000,Bronx,2121 Eastchester Road
50th Precinct,50th,50,718-543-5700,Bronx,3450 Kingsbridge Avenue
52nd Precinct,52nd,52,718-220-5811,Bronx,3016 Webster Avenue
60th Precinct,60th,60,718-946-3311,Brooklyn,2951 West 8th Street
61st Precinct,61st,61,718-627-6611,Brooklyn,2575 Coney Island Avenue
62nd Precinct,62nd,62,718-236-2611,Brooklyn,1925 Bath Avenue
63rd Precinct,63rd,63,718-258-4411,Brooklyn,1844 Brooklyn Avenue
66th Precinct,66th,66,718-851-5611,Brooklyn,5822 16th Avenue
67th Precinct,67th,67,718-287-3211,Brooklyn,2820 Snyder Avenue
68th Precinct,68th,68,718-439-4211,Brooklyn,333 65th Street
69th Precinct,69th,69,718-257-6211,Brooklyn,9720 Foster Avenue
70th Precinct,70th,70,718-851-5511,Brooklyn,154 Lawrence Avenue
71st Precinct,71st,71,718-735-0511,Brooklyn,421 Empire Boulevard
72nd Precinct,72nd,72,718-965-6311,Brooklyn,830 4th Avenue
73rd Precinct,73rd,73,718-495-5411,Brooklyn,1470 East New York Avenue
75th Precinct,75th,75,718-827-3511,Brooklyn,1000 Sutter Avenue
76th Precinct,76th,76,718-834-3211,Brooklyn,191 Union Street
77th Precinct,77th,77,718-735-0611,Brooklyn,127 Utica Avenue
78th Precinct,78th,78,718-636-6411,Brooklyn,65 6th Avenue
79th Precinct,79th,79,718-636-6611,Brooklyn,263 Tompkins Avenue
81st Precinct,81st,81,718-574-0411,Brooklyn,30 Ralph Avenue
83rd Precinct,83rd,83,718-574-1605,Brooklyn,480 Knickerbocker Avenue
84th Precinct,84th,84,718-875-6811,Brooklyn,301 Gold Street
88th Precinct,88th,88,718-636-6511,Brooklyn,298 Classon Avenue
90th Precinct,90th,90,718-963-5311,Brooklyn,211 Union Avenue
94th Precinct,94th,94,718-383-3879,Brooklyn,100 Meserole Avenue
100th Precinct,100th,100,718-318-4200,Queens,92-24 Rockaway Beach Boulevard
101st Precinct,101st,101,718-868-3400,Queens,16-12 Mott Avenue
102nd Precinct,102nd,102,718-805-3200,Queens,87-34 118th Street
103rd Precinct,103rd,103,718-657-8181,Queens,168-02 P.O Edward Byrne Ave.
104th Precinct,104th,104,718-386-3004,Queens,64-2 Catalpa Avenue
105th Precinct,105th,105,718-776-9090,Queens,92-08 222nd Street
106th Precinct,106th,106,718-845-2211,Queens,103-53 101st Street
107th Precinct,107th,107,718-969-5100,Queens,71-01 Parsons Boulevard
108th Precinct,108th,108,718-784-5411,Queens,5-47 50th Avenue
109th Precinct,109th,109,718-321-2250,Queens,37-05 Union Street
110th Precinct,110th,110,718-476-9311,Queens,94-41 43rd Avenue
111th Precinct,111th,111,718-279-5200,Queens,45-06 215th Street
112th Precinct,112th,112,718-520-9311,Queens,68-40 Austin Street
113th Precinct,113th,113,718-712-7733,Queens,167-02 Baisley Boulevard
114th Precinct,114th,114,718-626-9311,Queens,34-16 Astoria Boulevard
115th Precinct,115th,115,718-533-2002,Queens,92-15 Northern Boulevard
120th Precinct,120th,120,718-876-8500,Staten Island,78 Richmond Terrace
121st Precinct,121st,121,718-697-8700,Staten Island,970 Richmond Avenue
122nd Precinct,122nd,122,718-667-2211,Staten Island,2320 Hylan Boulevard
123rd Precinct,123rd,123,718-948-9311,Staten Island,116 Main Street
